Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
1800.11,Bank Transfer,11.0,Tablet,Boston,0,48,12,Net Banking,1
1752.48,Online Purchase,11.0,Mobile,Miami,2,37,4,Net Banking,1
1029.4,Bill Payment,21.0,Mobile,Seattle,4,88,3,Net Banking,1
3806.61,Online Purchase,18.0,Mobile,Los Angeles,0,70,6,UPI,1
3676.51,ATM Withdrawal,13.0,Mobile,Miami,3,14,4,Debit Card,1
3599.08,Bill Payment,17.0,Unknown Device,New York,2,100,5,Credit Card,1
2140.17,Online Purchase,15.0,Mobile,Chicago,2,26,11,UPI,1
3933.44,Bank Transfer,7.0,Mobile,Chicago,1,31,12,Debit Card,1
861.25,Bill Payment,15.0,Desktop,Seattle,0,70,2,Credit Card,1
4090.54,Bill Payment,16.0,Tablet,Boston,2,31,4,Net Banking,1
1288.75,Bank Transfer,12.0,Desktop,New York,0,114,9,Net Banking,1
4284.95,ATM Withdrawal,10.0,Tablet,Los Angeles,4,95,7,Debit Card,1
553.87,ATM Withdrawal,15.0,Mobile,New York,0,106,3,Net Banking,1
1115.53,Bank Transfer,11.0,Desktop,Houston,0,75,7,Credit Card,1
384.76,POS Payment,6.0,Mobile,Boston,0,75,10,UPI,1
4293.37,Bank Transfer,11.0,Mobile,Miami,3,44,6,Net Banking,1
4437.61,Bank Transfer,17.0,Tablet,Houston,1,37,8,UPI,1
3163.11,ATM Withdrawal,21.0,Desktop,Miami,4,112,13,Credit Card,1
1858.39,POS Payment,11.0,Tablet,Houston,2,108,12,Debit Card,1
3213.36,Bill Payment,6.0,Desktop,Boston,1,88,4,Credit Card,1
549.97,Bill Payment,23.0,Desktop,Seattle,3,108,7,Credit Card,1
1635.14,POS Payment,20.0,Tablet,Seattle,3,100,3,Net Banking,1
1436.12,Bill Payment,9.0,Tablet,Chicago,4,21,9,UPI,1
2356.76,Online Purchase,20.0,Tablet,Chicago,1,12,14,Net Banking,1
1171.78,Online Purchase,18.0,Tablet,Chicago,3,84,1,UPI,1
1815.01,Online Purchase,23.0,Mobile,Los Angeles,4,66,6,Credit Card,1
3638.45,Bank Transfer,9.0,Desktop,Los Angeles,0,49,8,Credit Card,1
2725.9,Bill Payment,21.0,Mobile,Miami,2,45,10,UPI,1
4894.93,POS Payment,11.0,Mobile,Chicago,4,45,8,UPI,1
4691.54,Bill Payment,16.0,Tablet,Boston,3,41,4,Debit Card,1
1992.97,ATM Withdrawal,0.0,Tablet,Boston,3,100,1,Debit Card,1
4311.6,Online Purchase,5.0,Tablet,Chicago,1,6,9,UPI,1
2273.72,Bank Transfer,5.0,Mobile,New York,4,117,5,Credit Card,1
2099.09,ATM Withdrawal,11.0,Mobile,Houston,1,10,1,Credit Card,1
637.45,ATM Withdrawal,11.0,Tablet,New York,1,59,1,Credit Card,1
4042.85,Bill Payment,18.0,Tablet,Chicago,4,101,9,Credit Card,1
685.12,Online Purchase,13.0,Mobile,Miami,2,5,1,Credit Card,1
4284.34,POS Payment,9.0,Tablet,Miami,4,110,13,Debit Card,1
3550.95,Online Purchase,11.0,Desktop,Los Angeles,2,34,6,Credit Card,1
1555.84,Online Purchase,19.0,Tablet,Los Angeles,2,17,5,UPI,1
3950.07,ATM Withdrawal,15.0,Mobile,Chicago,2,80,6,Net Banking,1
3757.62,Online Purchase,11.0,Tablet,San Francisco,4,87,1,UPI,1
2853.07,Bill Payment,7.0,Mobile,Miami,2,93,6,Net Banking,1
3960.52,Bill Payment,20.0,Mobile,Seattle,1,51,8,Credit Card,1
996.65,Bank Transfer,21.0,Mobile,New York,2,48,3,Credit Card,1
281.94,Bank Transfer,20.0,Mobile,Chicago,2,89,14,UPI,1
4194.06,Bank Transfer,5.0,Desktop,Chicago,2,65,4,Debit Card,1
51.58,Online Purchase,2.0,Tablet,Chicago,2,49,5,Credit Card,1
1557.24,Bank Transfer,1.0,Desktop,Chicago,3,70,5,Credit Card,1
508.45,Bank Transfer,22.0,Tablet,Chicago,2,107,14,UPI,1
3726.34,ATM Withdrawal,14.0,Desktop,New York,2,80,4,Credit Card,1
3084.31,Bill Payment,15.0,Unknown Device,Miami,4,113,8,Debit Card,1
1267.96,Online Purchase,17.0,Unknown Device,Chicago,1,64,2,Net Banking,1
401.14,Bill Payment,23.0,Mobile,Seattle,1,79,3,UPI,1
1484.23,Online Purchase,18.0,Unknown Device,Boston,2,105,3,Credit Card,1
49997.8,POS Payment,0.0,Tablet,New York,1,63,12,Debit Card,1
701.18,Bill Payment,9.0,Desktop,Miami,2,45,2,UPI,1
4791.69,Bill Payment,5.0,Tablet,Miami,4,74,5,Credit Card,1
49997.8,Online Purchase,16.0,Desktop,Miami,4,88,14,Credit Card,1
2110.99,POS Payment,11.0,Desktop,Los Angeles,1,75,7,Credit Card,1
3052.46,POS Payment,12.0,Desktop,Miami,1,96,1,Debit Card,1
4615.62,Bill Payment,18.0,Desktop,Los Angeles,0,17,14,Net Banking,1
4318.47,Bank Transfer,1.0,Tablet,Boston,2,86,10,Net Banking,1
2669.44,Bank Transfer,17.0,Tablet,San Francisco,2,86,11,Debit Card,1
4505.17,POS Payment,4.0,Tablet,Chicago,4,34,1,Net Banking,1
4422.43,Bill Payment,13.0,Tablet,Boston,2,13,5,Credit Card,1
4013.43,POS Payment,17.0,Mobile,Miami,1,94,2,UPI,1
910.93,POS Payment,18.0,Tablet,New York,1,92,14,Debit Card,1
3134.41,POS Payment,4.0,Desktop,Houston,4,64,1,Net Banking,1
4536.95,ATM Withdrawal,5.0,Mobile,Boston,0,8,14,Net Banking,1
4100.01,ATM Withdrawal,19.0,Desktop,Miami,2,45,12,Net Banking,1
173.19,ATM Withdrawal,13.0,Tablet,Houston,0,114,1,UPI,1
3073.77,Bill Payment,8.0,Desktop,Boston,4,109,3,Debit Card,1
