Transaction_Amount,Transaction_Type,Time_of_Transaction,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Device_Used,Fraudulent
2158.54,Bank Transfer,17.0,New York,0,118,12,Net Banking,Mobile,0
1314.01,Bank Transfer,3.0,Houston,0,119,4,Credit Card,Mobile,0
4775.19,ATM Withdrawal,15.0,Chicago,3,73,14,Credit Card,Mobile,0
3697.68,POS Payment,6.0,Chicago,4,14,11,Net Banking,Mobile,0
877.55,Online Purchase,10.0,Los Angeles,3,109,7,UPI,Desktop,0
1285.34,Bill Payment,2.0,Los Angeles,0,101,5,UPI,Desktop,0
3833.93,Bill Payment,15.0,San Francisco,4,9,6,Credit Card,Mobile,0
1294.33,ATM Withdrawal,0.0,San Francisco,2,11,5,Credit Card,Mobile,0
2508.9,ATM Withdrawal,0.0,Houston,1,88,2,Credit Card,Tablet,0
1075.66,Online Purchase,23.0,San Francisco,2,19,10,Net Banking,Desktop,0
3775.8,Online Purchase,5.0,Miami,1,102,2,Credit Card,Desktop,0
666.66,ATM Withdrawal,23.0,Houston,3,26,8,Credit Card,Mobile,0
4906.98,Online Purchase,18.0,New York,2,103,8,Credit Card,Desktop,1
2241.86,Bill Payment,2.0,New York,3,75,6,Net Banking,Mobile,0
498.72,POS Payment,6.0,San Francisco,2,15,12,UPI,Desktop,0
3444.45,Bank Transfer,1.0,Chicago,1,36,9,Net Banking,Mobile,0
3155.79,Bank Transfer,6.0,Boston,1,105,12,Credit Card,Desktop,0
4855.69,ATM Withdrawal,7.0,Seattle,2,58,3,Credit Card,Mobile,0
1756.26,ATM Withdrawal,1.0,San Francisco,1,8,7,UPI,Desktop,0
2337.42,Online Purchase,21.0,Los Angeles,0,103,5,UPI,Mobile,0
225.78,ATM Withdrawal,5.0,Miami,3,34,13,Credit Card,Tablet,0
3070.21,Bank Transfer,18.0,Chicago,2,89,5,Debit Card,Mobile,0
815.79,POS Payment,13.0,Miami,4,7,10,Debit Card,Desktop,0
4385.7,ATM Withdrawal,12.0,Chicago,2,20,11,Debit Card,Tablet,0
3538.37,Online Purchase,16.0,San Francisco,2,53,6,Debit Card,Tablet,0
869.66,Online Purchase,18.0,Miami,1,103,2,Debit Card,Tablet,0
4887.08,ATM Withdrawal,3.0,New York,0,91,10,Net Banking,Mobile,0
4763.47,Bank Transfer,13.0,Seattle,3,58,4,Debit Card,Mobile,0
928.32,ATM Withdrawal,8.0,Chicago,2,4,1,Net Banking,Unknown Device,0
849.96,Online Purchase,8.0,Los Angeles,0,104,11,Debit Card,Desktop,0
4385.12,POS Payment,17.0,Seattle,1,4,2,UPI,Desktop,0
3864.9,Bill Payment,18.0,Chicago,1,32,6,Debit Card,Tablet,0
2613.04,Bank Transfer,14.0,San Francisco,3,104,1,UPI,Tablet,0
1373.03,Online Purchase,21.0,San Francisco,1,74,13,UPI,Mobile,0
3690.75,Online Purchase,18.0,Houston,0,49,11,UPI,Tablet,0
3233.42,POS Payment,1.0,San Francisco,1,35,12,Net Banking,Desktop,0
